Date,Adj_Close,Adj_Volume
2016-04-15,37.13,4293775
2016-04-18,36.9,3445852
2016-04-19,37.12,3748050
2016-04-20,37.77,2470384
2016-04-21,37.21,2043988
2016-04-22,37.4,2786757
2016-04-25,36.75,1830397
2016-04-26,37.25,2384800
2016-04-27,39.11,2559759
2016-04-28,38.62,2245100
2016-04-29,38.88,2286996
2016-05-02,38.99,2050871
2016-05-03,37.37,1581690
2016-05-04,35.85,2824705
2016-05-05,36.11,1690499
2016-05-06,33.82,3384426
2016-05-09,32.15,3633528
2016-05-10,33.49,2129559
2016-05-11,32.72,1677390
2016-05-12,34.75,4959508
2016-05-13,33.99,2152913
2016-05-16,35.04,1676612
2016-05-17,35.48,2750873
2016-05-18,33.83,3036528
2016-05-19,32.88,2897634
2016-05-20,33.85,1865893
2016-05-23,33.21,1200857
2016-05-24,32.89,1595620
2016-05-25,33.65,1145461
2016-05-26,33.27,975975
2016-05-27,32.77,1769133
2016-05-31,32.13,2705389
2016-06-01,32.24,1991493
2016-06-02,34.01,1849175
2016-06-03,33.36,1789847
2016-06-06,33.64,1727478
2016-06-07,35.59,2612384
2016-06-08,37.25,3482528
2016-06-09,36.55,2809775
2016-06-10,34.22,1778092
2016-06-13,33.24,2007588
2016-06-14,32.5,2944757
2016-06-15,33.1,2249201
2016-06-16,33.09,1494478
2016-06-17,34.51,2858174
2016-06-20,35.2,3447535
2016-06-21,35.43,3846764
2016-06-22,35.45,3905458
2016-06-23,37.67,3675745
2016-06-24,34.8,5027499
2016-06-27,33.75,3222388
2016-06-28,35.01,2579654
2016-06-29,37.03,3908007
2016-06-30,37.55,2212548
2016-07-01,38.65,2832603
2016-07-05,37.14,3322653
2016-07-06,37.02,4053939
2016-07-07,37.1,3115426
2016-07-08,37.66,2057378
2016-07-11,37.75,1718446
2016-07-12,39.04,2990955
2016-07-13,38.99,1837699
2016-07-14,39.45,1512704
2016-07-15,39.86,2505775
2016-07-18,40.15,2279325
2016-07-19,39.46,2056730
2016-07-20,40,1992213
2016-07-21,40.12,2982517
2016-07-22,41.08,2606859
2016-07-25,40.57,2398571
2016-07-26,41.33,1985185
2016-07-27,41.1,2437833
2016-07-28,41.5,1440877
2016-07-29,41.83,1928440
2016-08-01,39.37,3125179
2016-08-02,39.35,2824021
2016-08-03,40.78,1800114
2016-08-04,41.24,2139101
2016-08-05,42.13,1841768
2016-08-08,42.96,3375650
2016-08-09,42.2,3015062
2016-08-10,42.02,1939349
2016-08-11,42.44,1491518
2016-08-12,42.99,1677859
2016-08-15,43.84,2240730
2016-08-16,44.21,2289438
2016-08-17,44.86,2987072
2016-08-18,45.61,2297848
2016-08-19,45,1764271
2016-08-22,44.17,1228481
2016-08-23,44.5,915708
2016-08-24,43.2,1716835
2016-08-25,43.32,984955
2016-08-26,43.99,1724544
2016-08-29,44.06,816393
2016-08-30,43.49,1369779
2016-08-31,42.9,1853536
2016-09-01,42.67,1469499
2016-09-02,43.65,1314131
2016-09-06,44.9,1502448
2016-09-07,44.86,1908298
2016-09-08,45.89,1740140
2016-09-09,45,2261871
2016-09-12,45.01,2911518
2016-09-13,43.53,2258649
2016-09-14,42.85,1599273
2016-09-15,43.44,1162737
2016-09-16,42.93,1353675
2016-09-19,43.07,2695114
2016-09-20,42.96,1102727
2016-09-21,44.3,1579893
2016-09-22,44.49,2249528
2016-09-23,43.72,2308460
2016-09-26,42.9,1506479
2016-09-27,42.22,1457373
2016-09-28,44.2,2702495
2016-09-29,43.37,1745561
2016-09-30,43.6,6175504
2016-10-03,42.11,3126653
2016-10-04,42.1,2719820
2016-10-05,42.08,1951413
2016-10-06,41.8,1703155
2016-10-07,42.01,1689986
2016-10-10,42.14,1411185
2016-10-11,42,1857991
2016-10-12,41.71,1449235
2016-10-13,41.48,2455599
2016-10-14,40.69,2340716
2016-10-17,41.07,1697807
2016-10-18,41.61,1549366
2016-10-19,41.62,1633894
2016-10-20,41.59,1296916
2016-10-21,41.39,906566
2016-10-24,41.03,1183001
2016-10-25,40.09,2301367
2016-10-26,39.32,3148074
2016-10-27,39.47,2326692
2016-10-28,38.75,1809775
2016-10-31,37.7,3040835
2016-11-01,37.42,2931154
2016-11-02,36.2,2741663
2016-11-03,36.62,2884606
2016-11-04,36.84,3413538
2016-11-07,37.48,3091875
2016-11-08,37.67,2437731
2016-11-09,37.5,3289862
2016-11-10,37.4,2383470
2016-11-11,35.79,3333837
2016-11-14,36.13,2318237
2016-11-15,37.8,3229196
2016-11-16,37.09,1926676
2016-11-17,37.87,1954565
2016-11-18,38.45,4206206
2016-11-21,39.83,2868724
2016-11-22,39.83,3128168
2016-11-23,40.61,1770460
2016-11-25,40.12,779185
2016-11-28,39.88,1804838
2016-11-29,38.97,2358923
2016-11-30,40.86,3732236
2016-12-01,41.29,3893256
2016-12-02,41.27,1512347
2016-12-05,41.8,2081132
2016-12-06,42.17,2922551
2016-12-07,41.95,2001157
2016-12-08,42.65,2151791
2016-12-09,43.01,3465739
2016-12-12,43,3692532
2016-12-13,43.1,2563271
2016-12-14,41.62,3322723
2016-12-15,42.58,2430341
2016-12-16,42.8,2386614
2016-12-19,41.62,2032108
2016-12-20,40.85,2720751
2016-12-21,41.37,3192080
2016-12-22,41.26,1822767
2016-12-23,41.55,722780
2016-12-27,41.98,1042507
2016-12-28,42.27,1401908
2016-12-29,41.99,1059280
2016-12-30,41.43,2087178
2017-01-03,42.35,1977965
2017-01-04,43,2197181
2017-01-05,44.45,3020108
2017-01-06,44.9,3089749
2017-01-09,43.84,2063357
2017-01-10,43.35,1802377
2017-01-11,43.35,1217411
2017-01-12,43.48,1219790
2017-01-13,43.45,782397
2017-01-17,43.68,1885360
2017-01-18,42.82,2467286
2017-01-19,42.64,2134601
2017-01-20,43.26,2384745
2017-01-23,43.06,1680906
2017-01-24,45.65,3703140
2017-01-25,48.23,6611851
2017-01-26,50.42,7141381
2017-01-27,49.07,2861487
2017-01-30,47.45,2591824
2017-01-31,47.65,2137394
2017-02-01,47.1,2051631
2017-02-02,49.33,3081369
2017-02-03,49.43,4158130
2017-02-06,48.5,2090909
2017-02-07,47.81,2522644
2017-02-08,48.01,1521339
2017-02-09,49.19,1717838
2017-02-10,48.93,1747989
2017-02-13,48.14,2321977
2017-02-14,47.88,1554408
2017-02-15,47.69,1259163
2017-02-16,46.84,1604430
2017-02-17,46.71,1099323
2017-02-21,47.36,2023612
2017-02-22,47.22,1904650
2017-02-23,47.35,1447967
2017-02-24,47.46,2321416
2017-02-27,48.91,2982532
2017-02-28,48.05,2480839
2017-03-01,48,2255653
2017-03-02,46.67,1892505
2017-03-03,47.5,1241302
2017-03-06,47.55,690752
2017-03-07,47.06,1185163
2017-03-08,45.09,2123139
2017-03-09,44.92,1903310
2017-03-10,45.55,1436387
2017-03-13,45.96,1168134
2017-03-14,44.4,1595632
2017-03-15,44.88,1542583
2017-03-16,45.33,1155555
2017-03-17,45.63,1553405
2017-03-20,44.57,2054531
2017-03-21,43.74,1196263
2017-03-22,43.96,1136910
2017-03-23,44.52,1888197
2017-03-24,45,1454495
2017-03-27,45.2,1588592
2017-03-28,45.58,1454332
2017-03-29,46.6,2398345
2017-03-30,46.03,1071601
2017-03-31,47.27,3112678
2017-04-03,47.05,2011120
2017-04-04,47.45,2088885
2017-04-05,46.77,1717965
